Name,Image,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,Serial ID,Internal ID,Unique Entry ID
golden toilet,,6,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,200,Housewares,3472,gold,FtrGoldWC,1106,262,LExLS6QXyLuhewyZm
golden wall,,4,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4894,gold,RoomTexWallGold00,1150,299,u7gdHaAk5nbB4p5Ru
golden wand,,2,gold nugget,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,7591,gold,ToolStickGolden,1190,539,RgNWgCdnAK2qjJTmo
golden watering can,,1,watering can,1,gold nugget,,,,,,,,,NFS,NA,NA,NA,Isabelle,Obtained after the 5-star island evaluation,NA,NA,1.0.0,Yes,0,Tools,8533,gold,ToolWateringGold,116,659,HShnyCLB3cPL5xNTx
gong,,6,iron nugget,5,wood,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,4075,dark gray,FtrTamtam,910,393,sLG4MSw3ReWmoBQNf
grass skirt,,7,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Equipment,4333,green,BottomsTexSkirtBoxGrass0,1286,603,zuxKqmoD6WAAzheNq
grass standee,,2,wood,2,softwood,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Housewares,530,brown,FtrHariboteGrass,378,582,Q7M9H8k9C9iTsWafA
green grass skirt,,7,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Equipment,8907,green,BottomsTexSkirtBoxGrass1,1287,605,mzQREt22Mh8reP5WY
green-leaf pile,,1,young spring bamboo,10,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,4269,green,FtrFallenleavesGreen,3001,587,yN7Ly9tsMKDvKqHu8
hanging terrarium,,12,clump of weeds,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3775,green,FtrTerrariumWall,1232,396,GNtJWEuH8EoLwwi2a
hay bed,,20,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,3675,green,FtrHaybed,1200,167,7TFmXPG98wdcvvQe6
hearth,,2,bamboo piece,5,iron nugget,4,clay,5,hardwood,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,722,green,FtrIrori,2407,217,HwZwNAuYqaBbwS2YL
hedge,,10,clump of weeds,5,tree branch,2,stone,,,,,,,NFS,200,NA,NA,Tom Nook; Leif,Obtained from Tom Nook after completing one Nature Day Nook Miles+ task; Obtained from Leif after buying anything from him on three different days,Nature Day,No,1.2.0,Yes,0,Other,12758,green,ItemFenceIkegaki,1291,713,m9LpprrQ6sP6EnArD
hedge standee,,2,wood,3,softwood,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Housewares,531,brown,FtrHariboteHedge,379,583,6Gq4PMmcJqzJySt7G
holiday candle,,5,red ornament,5,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Miscellaneous,891,white,FtrCandleXmas,7401,372,5f7xR7Kvm2mMwpGjz
honeycomb flooring,,5,wasp nest,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Floors,4999,orange,RoomTexFloorHoney00,2060,472,Yq6j7ppP9e4k6GuSz
honeycomb wall,,6,wasp nest,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4865,orange,RoomTexWallHoney00,2050,296,XJZCow9k2yrtvYDSc
hyacinth crown,,4,red hyacinths,2,yellow hyacinths,2,white hyacinths,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,0,Equipment,5096,green,CapOrnamentHyacinth1,8220,237,wChSX5vstYGQaWma7
hyacinth lamp,,5,purple hyacinths,3,clay,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,7234,green,FtrFlowerLamp,7806,506,fBKmq2YprMreQQrYo
hyacinth wand,,1,pink hyacinths,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,5083,green,ToolStickHyacinth,8276,524,SfyT7DJYnMvjQmSRX
hyacinth wreath,,3,white hyacinths,3,red hyacinths,3,yellow hyacinths,,,,,,,NFS,200,NA,NA,All villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native flower is hyacinths,NA,NA,1.0.0,Yes,50,Wall-mounted,5468,green,FtrDoorOrnamentWreathHyacinth,7860,232,ysyo8kjy4NBvj929M
ice flooring,,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Floors,5516,blue,RoomSpFloorIce00,6660,288,r4NnQCo7BTJX7QwLd
ice wall,,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Wallpaper,5505,blue,RoomSpWallIce00,6650,293,An3uWvJLZrfNtdewM
ice wand,,1,large snowflake,3,star fragment,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Tools,7585,blue,ToolStickSnow,6690,533,pfuLcy3eLoxPsFMQy
iceberg flooring,,10,snowflake,,,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,1.0.0,Yes,0,Floors,5253,blue,RoomSpFloorIceFloe00,7061,289,hbGr49z9cKw5qeryp
iceberg wall,,10,snowflake,,,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,1.0.0,Yes,0,Wallpaper,5662,blue,RoomTexWallIceFloe00,7051,302,89NQTyckGsnbPBcxX
illuminated present,,3,red ornament,4,gold ornament,3,iron nugget,,,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4108,white,FtrIllumiPresent,7408,401,ZC8ykvryfN44HMCiJ
illuminated reindeer,,6,gold ornament,5,iron nugget,,,,,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4074,white,FtrIllumiReindeer,7409,392,PWkTWdSn5n9DncHBJ
illuminated snowflakes,,9,blue ornament,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4131,white,FtrIllumiSnow,7407,406,R2G2JJGg5deoW7GxT
illuminated tree,,6,gold ornament,6,iron nugget,8,red ornament,8,blue ornament,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4066,white,FtrIllumiTree,7410,203,S8meymsrnGbZRN5XM
imperial fence,,6,wood,4,softwood,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4354,brown,ItemFenceChinese,597,550,6xscDDXokkLGARAzw
infused-water dispenser,,2,apple,2,pear,2,cherry,2,orange,2,peach,2,coconut,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,4107,white,FtrFruitswater,1901,400,t24vHrtE8fyRkzyWK
iron armor,,8,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Equipment,4588,dark gray,TopsTexOnepieceOverallLPlatearmorIron,981,640,qMDWWFfXPFTMpGTpQ
iron closet,,12,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,9642,dark gray,FtrIronClosetLR,904,573,PamdzQi8BcNbAqHmL
iron doorplate,,2,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4752,dark gray,FtrDoorOrnamentIron,940,468,ckD6nctsXhWjtaRmJ
iron fence,,6,iron nugget,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4357,dark gray,ItemFenceSteel,991,267,6b9c3c3cRkfK3sqXu
iron frame,,20,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,2553,dark gray,FtrIronframe,915,79,hzFGkyKC77m5kAHSA
iron garden bench,,8,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,1625,dark gray,FtrIrongardenBench,902,63,oDze7K3AbxFpni27M
iron garden chair,,3,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,1626,dark gray,FtrIrongardenChair,900,64,GTMdcZkxvPs6tDdQZ
iron garden table,,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,1627,dark gray,FtrIrongardenTable,901,65,LfmT6j46no2RNRXDi
iron hanger stand,,3,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,3561,dark gray,FtrIronHanger,906,365,sFNTL2NeXckRLskP7
iron shelf,,14,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,3563,dark gray,FtrIronShelf,905,128,McdRNpxXrk9xKkK4S
iron wall lamp,,4,iron nugget,2,clay,,,,,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Wall-mounted,3559,dark gray,FtrIronLampW,930,122,b9KAgbNSetaJieTKp
iron wall rack,,3,iron nugget,1,clay,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3562,dark gray,FtrIronShelfW,931,123,DYTTSvnJoQAtBqSpL
iron wand,,3,iron nugget,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,7592,dark gray,ToolStickIron,999,540,MYYovLTdmLov8y2hL
iron worktable,,10,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,3560,dark gray,FtrIronTableM,903,126,yoWsZbmhYnfeXhTgr
iron-and-stone fence,,6,stone,3,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,5206,light gray,ItemFenceIronAndStone,891,555,qe9qWWJB7wDbMLKTG
ironwood bed,,20,wood,10,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,3200,blue,FtrIronwoodBedS,1005,87,Gs6r4jNYwqfyjcBAQ
ironwood cart,,6,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,3195,blue,FtrIronwoodServingcart,1001,85,MdPCQSxd8CnBRe9Ac
ironwood chair,,3,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,3193,blue,FtrIronwoodChairS,1000,83,geDcbiFqc4L4eZojy
ironwood clock,,2,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3275,blue,FtrIronwoodClockW,1040,94,vWYzQ9pTSBH5Wbmmk
ironwood cupboard,,12,wood,6,iron nugget,1,ironwood dresser,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,100,Housewares,3271,blue,FtrIronwoodCupboard,1006,92,bFD87nMsrphrQcGhi
ironwood DIY workbench,,12,wood,6,iron nugget,1,mini DIY workbench,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Housewares,3943,blue,FtrWorkbenchIronwood,1008,125,qfemQxWGxbseGW4pR
ironwood dresser,,7,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,3196,blue,FtrIronwoodChest,1002,86,zHZA38BSSukQPvfAx
ironwood kitchenette,,4,wood,3,iron nugget,1,ironwood dresser,1,cutting board,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,3270,blue,FtrIronwoodKitchen,1007,91,Aws83WvmsMbK8mamt
ironwood low table,,6,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,3194,blue,FtrIronwoodTableM,1004,84,hZCJc27R4RDJwNj6y
ironwood table,,12,wood,6,iron nugget,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,3191,blue,FtrIronwoodTableL,1003,35,kWp7B34ACYfXs4HEk
jail bars,,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,5931,dark gray,FtrScreenCage,912,435,cQRevEHviBPSXaDRz
Jingle wall,,5,red ornament,5,blue ornament,5,gold ornament,5,clay,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Wallpaper,5230,white,RoomSpWallXmas00,7450,291,yHZv2YNkbKzqaCich
juicy-apple TV,,10,apple,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,NA,NA,1.0.0,Yes,100,Housewares,2596,red,FtrFruitsTV,1701,6,gjc7Wju56JYDhkwvJ
jungle flooring,,10,clump of weeds,10,clay,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Floors,5515,green,RoomTexFloorJungle00,1260,470,8Dg67mD5L3628ZfXP
jungle wall,,15,clump of weeds,3,wood,3,hardwood,3,softwood,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,5457,green,RoomTexWallJungle00,1250,326,sKFxDKgEMLzZtPu7K
kettle bathtub,,8,iron nugget,2,wood,1,campfire,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,4008,dark gray,FtrGoemonburo,916,490,WJQG9QKBGGGyAiGxk
kettlebell,,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,7535,dark gray,FtrKettlebell,913,600,Mmspyi3WpibXgBh2u
key holder,,3,wood,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3992,brown,FtrKeyhanger,480,437,cXTKSu7vAHz2c3tmD
King Tut mask,,5,gold nugget,,,,,,,,,,,NFS,NA,NA,NA,Hitting a rock,Picking up gold nuggets knocked out of rocks,NA,NA,1.4.0,Yes,0,Equipment,5607,gold,CapFullfaceKingtut0,1183,716,dYrMmg7tsBvSwarEc
knight's helmet,,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Equipment,5334,dark gray,CapFullfaceKnightIron,980,641,3u8tk4SyAemkHTRzz
knitted-grass backpack,,20,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Equipment,7511,green,BagBackpackGrass0,1288,636,CoEssbnPs7xhuMbTF
ladder,,4,wood,4,hardwood,4,softwood,,,,,,,500,200,NA,NA,Tom Nook; Nook's Cranny,Obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Tools,2615,beige,ToolLadder,122,107,QHAFqRRLE65RSvmQh
large cardboard boxes,,5,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,3412,yellow,FtrMovingboxL,2136,611,6eBT8zf9Fv2GWbZRk
lattice fence,,8,softwood,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,11712,brown,ItemFenceLatiiceNatural,592,657,LRSdBoRQia8MgkGRg
leaf,,5,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Equipment,4682,green,AccessoryMouthLeafGreen,1280,261,cJ9rqxsr9oZKrjHXJ
leaf campfire,,3,pine cone,5,clump of weeds,3,tree branch,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,1.0.0,Yes,0,Housewares,7788,brown,FtrFallenleavesfire,4603,509,ziEwyR6mTntmTaKfX
leaf mask,,10,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Equipment,7291,green,CapMaskLeaf0,1281,635,ng67WBZo7rRfQSWDa
leaf stool,,3,maple leaf,3,wood,,,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Housewares,7390,brown,FtrFallenleavesChairS,4604,519,u2hwyRwKoRYdCHrHY
leaf umbrella,,15,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Equipment,6840,green,UmbrellaLeaf0,1282,456,DyPomQRjemr3vjDQt
leaf-egg outfit,,3,leaf egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting leaf eggs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12451,yellow,TopsTexOnepieceRibNEggleaf0,8667,680,iJeXo3dJrybEpPEHw
leaf-egg shell,,2,leaf egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting leaf eggs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12441,yellow,CapHatEggleaf0,8666,679,9Bf5xhQJQHvW8n8Jc
leaf-egg shoes,,2,leaf egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting leaf eggs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12457,yellow,ShoesLowcutEggleaf0,8668,681,wKxwrd3MDWZDidSGp
Leo sculpture,,3,star fragment,2,Leo fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,NA,Celeste,,Leo,Yes,1.0.0,Yes,0,Wall-mounted,5964,silver,FtrZodiacLeo,2304,407,5QHREHAwKLPzLmmDi
Libra scale,,3,star fragment,2,Libra fragment,2,gold nugget,,,,,,,NFS,200,NA,NA,Celeste,,Libra,Yes,1.0.0,Yes,0,Miscellaneous,3774,silver,FtrZodiacLibra,2306,132,td7wJhwym4yZKy6tQ
light bamboo rug,,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Rugs,11113,green,RugRectBambooM00,3070,671,QfT9N8GGPr4x3u9hH
lily crown,,2,red lilies,2,yellow lilies,2,white lilies,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,0,Equipment,5114,green,CapOrnamentYuri1,8223,255,kAqnCE6oFFAeZvYXN
lily record player,,5,white lilies,3,iron nugget,3,wood,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Housewares,7236,green,FtrFlowerRecordplayer,7807,515,Y9NXrLeRe8XHPFRDN
lily wand,,1,white lilies,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,5094,green,ToolStickYuri,8277,530,sKXdSX9eDXe7mEpxG
lily wreath,,3,white lilies,3,red lilies,3,yellow lilies,,,,,,,NFS,200,NA,NA,All villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native flower is lilies,NA,NA,1.0.0,Yes,50,Wall-mounted,5641,green,FtrDoorOrnamentWreathYuri,7863,438,T79DghfmPpWspJ9Eq
log bed,,30,hardwood,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Housewares,4041,brown,FtrLogBedW,338,119,kCWnjzgmGXnkRY4Ww
log bench,,5,hardwood,,,,,,,,,,,NFS,200,NA,NA,Normal villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,4042,brown,FtrLogStoolL,331,112,AQwJbwnFqY9yQ2XJ4
log chair,,8,hardwood,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Housewares,4039,brown,FtrLogSofaS,336,117,JiLieKMNcaY7QF8Zb
log decorative shelves,,2,log bench,3,hardwood,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,100,Housewares,4036,brown,FtrLogShelf,339,114,fKdr6A8t6WiZxXqco
log dining table,,15,hardwood,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,4040,brown,FtrLogTableL,333,118,TeyLyttsCPPGxsfgu
log extra-long sofa,,2,log chair,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,100,Housewares,4044,brown,FtrLogSofaL,337,110,LbsREdAkxGBWWFja2
log garden lounge,,12,hardwood,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,4035,brown,FtrLogBedS,335,113,PDwJZtp2PN93N3NfZ
log pack,,3,wood,5,hardwood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Equipment,7498,brown,BagBackpackWood0,570,638,fGoNxEDmgeZRehXXj
log round table,,15,hardwood,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Housewares,4043,brown,FtrLogTableLRound,334,111,aveZx5Dz7zLGfBiS7
log stakes,,3,wood,,,,,,,,,,,NFS,200,NA,NA,Smug villagers; Tom Nook,,NA,NA,1.0.0,Yes,0,Housewares,5973,brown,FtrWoodPile,341,412,Wwp2YdfmcWaY9LdHK
log stool,,4,hardwood,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,4038,brown,FtrLogStoolS,330,116,KCkvMzSKZoAGpFFvX
log wall-mounted clock,,2,hardwood,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4037,brown,FtrLogClockWall,340,115,qAiYovJGN6oxwXWqY
lovely cosmos crown,,4,pink cosmos,3,orange cosmos,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5109,green,CapOrnamentCosmos2,8207,250,ud57HYkDcb9fpS3jN
lucky gold cat,,2,gold nugget,1,lucky cat,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,9814,gold,FtrManekinekoGold,1107,578,bKrB5YcmewKR5AWot
lunar lander,,10,star fragment,15,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1440,silver,FtrModule,2225,386,jsL7MwKFFov5eWgcg
lunar rover,,10,star fragment,10,iron nugget,4,old tire,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1442,silver,FtrMoonrover,2226,373,bu2WXQC6ajuQYYejk
lunar surface,,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Floors,4968,silver,RoomTexFloorLunar00,2261,478,AbKXzqwJaJDmWnB9o
magazine rack,,2,magazine,4,wood,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,1032,yellow,FtrMagazinerack,2110,413,8xG78nXxXkRwPuhqX
manga-library wall,,10,magazine,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4838,yellow,RoomTexWallLibrary01,2112,316,8JLp8kSxRMRChTXaT
manhole cover,,3,iron nugget,,,,,,,,,,,NFS,200,800,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,144,dark gray,FtrManhole,917,277,6Zi8pyz29evu2n464
maple-leaf pochette,,6,maple leaf,,,,,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Equipment,7491,brown,BagShoulderMaple0,4681,631,7uFqbJaQoW2doC3B3
maple-leaf pond stone,,10,stone,3,maple leaf,,,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Housewares,7408,light gray,FtrStonewaterbowlAutumun,821,512,eJQMX98oYAmryvgps
maple-leaf umbrella,,7,maple leaf,,,,,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Equipment,7169,brown,UmbrellaAutumn0,4680,541,MWAN27apJPewSFHiR
matryoshka,,5,softwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,1652,brown,FtrMatryoshka,461,403,ogWXGmNDThxbXqgMG
medicine,,1,wasp nest,3,clump of weeds,,,,,,,,,NFS,200,NA,NA,All villagers (while stung),,NA,NA,1.0.0,Yes,0,Other,2777,white,ItemMedicine,130,567,WLudgvjM44qWLprre
medium cardboard boxes,,4,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,3411,yellow,FtrMovingboxM,2135,610,Q9uBnt9n4okWbCgvg
mermaid bed,,2,pearl,2,giant clam,5,sand dollar,,,,,,,NFS,200,NA,NA,Pascal,,NA,NA,1.3.0,Yes,0,Housewares,12558,white,FtrMermaidBedS,3814,723,ALFTq4KukvjmL4fb5
mermaid chair,,1,pearl,1,giant clam,2,sand dollar,,,,,,,NFS,200,NA,NA,Pascal,,NA,NA,1.3.0,Yes,0,Housewares,12562,white,FtrMermaidChairS,3818,727,pxAiAq33Mhuwn4Hkt
mermaid closet,,2,pearl,1,giant clam,2,coral,5,sand dollar,,,,,NFS,200,NA,NA,Pascal,,NA,NA,1.3.0,Yes,0,Housewares,12559,white,FtrMermaidClosetLR,3815,724,MEWXBzYjapeoEe2gB
mermaid dresser,,2,pearl,1,giant clam,3,coral,,,,,,,NFS,200,NA,NA,Pascal,,NA,NA,1.3.0,Yes,0,Housewares,12561,white,FtrMermaidChest,3817,726,Cw5hY5Rw3H3Dbj8Qm
